quantile,value,pert_id,n_batches_pert,cell_line
0.1,3.032729675321169,(+)-JQ1,2,sciplex_MCF7
0.2,3.0651039087320155,(+)-JQ1,2,sciplex_MCF7
0.5,3.16776800777531,(+)-JQ1,2,sciplex_MCF7
0.8,3.809129058297326,(+)-JQ1,2,sciplex_MCF7
0.9,4.6891105289402635,(+)-JQ1,2,sciplex_MCF7
0.99,4.827580476882184,(+)-JQ1,2,sciplex_MCF7
0.995,4.846025410162312,(+)-JQ1,2,sciplex_MCF7
0.1,3.6787979943446043,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.2,3.8092703746504557,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.5,5.284275193030182,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.8,5.610162520639906,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.9,5.801276864712909,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.99,6.067951991596636,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.995,6.204634897198818,2-Methoxyestradiol (2-MeOE2),2,sciplex_MCF7
0.1,3.350630463644523,A-366,2,sciplex_MCF7
0.2,3.4078098932498206,A-366,2,sciplex_MCF7
0.5,3.5064770326232066,A-366,2,sciplex_MCF7
0.8,4.4344627248345665,A-366,2,sciplex_MCF7
0.9,5.24858593178542,A-366,2,sciplex_MCF7
0.99,5.751131528584808,A-366,2,sciplex_MCF7
0.995,5.752257735531586,A-366,2,sciplex_MCF7
0.1,3.893311366946659,ABT-737,2,sciplex_MCF7
0.2,4.698806089058191,ABT-737,2,sciplex_MCF7
0.5,5.104600551162406,ABT-737,2,sciplex_MCF7
0.8,5.878589519520064,ABT-737,2,sciplex_MCF7
0.9,6.06887015114875,ABT-737,2,sciplex_MCF7
0.99,6.513671226796501,ABT-737,2,sciplex_MCF7
0.995,6.54909326373393,ABT-737,2,sciplex_MCF7
0.1,3.9796624046545688,AC480 (BMS-599626),2,sciplex_MCF7
0.2,4.096410770699988,AC480 (BMS-599626),2,sciplex_MCF7
0.5,4.918970172697292,AC480 (BMS-599626),2,sciplex_MCF7
0.8,5.3903309762079985,AC480 (BMS-599626),2,sciplex_MCF7
0.9,5.569951317195923,AC480 (BMS-599626),2,sciplex_MCF7
0.99,6.813626880608745,AC480 (BMS-599626),2,sciplex_MCF7
0.995,6.863404281339074,AC480 (BMS-599626),2,sciplex_MCF7
0.1,3.382034213470534,AG-14361,2,sciplex_MCF7
0.2,3.4793813049704165,AG-14361,2,sciplex_MCF7
0.5,4.807310208699732,AG-14361,2,sciplex_MCF7
0.8,5.2876704043848415,AG-14361,2,sciplex_MCF7
0.9,5.616663612139782,AG-14361,2,sciplex_MCF7
0.99,5.929378636344167,AG-14361,2,sciplex_MCF7
0.995,5.978479836257477,AG-14361,2,sciplex_MCF7
0.1,3.2634644734050697,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.2,3.2936877466959777,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.5,3.383136662452423,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.8,3.516594217398298,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.9,3.901284020425844,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.99,4.886832420351709,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.995,4.946881058007904,AG-490 (Tyrphostin B42),2,sciplex_MCF7
0.1,3.9397599343024168,AICAR (Acadesine),2,sciplex_MCF7
0.2,4.01860137952047,AICAR (Acadesine),2,sciplex_MCF7
0.5,4.341659803824447,AICAR (Acadesine),2,sciplex_MCF7
0.8,6.488424712033505,AICAR (Acadesine),2,sciplex_MCF7
