,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert-prediction-essential-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 5.37476761678418, 'MSE': 0.005257887093748191, 'MAE': 0.047394315022722046, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.37476761678418,0.005257887093748191,0.047394315022722046,,,K-562
1,expression/pert-prediction-essential-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 5.233870904596467, 'MSE': 0.004862188394652853, 'MAE': 0.046427360459009255, 'Spearman': 0.21680686087083412, 'Pearson': 0.2542090686895328}",context mean baseline,L2,5.233870904596467,0.004862188394652853,0.046427360459009255,0.21680686087083412,0.2542090686895328,K-562
0,expression/pert-prediction-essential-regression,Hep-G2.0,"{'primary_metric': 'L2', 'L2': 7.915278286827343, 'MSE': 0.011187803666970525, 'MAE': 0.06937117247685304, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.915278286827343,0.011187803666970525,0.06937117247685304,,,Hep-G2
1,expression/pert-prediction-essential-regression,Hep-G2.0,"{'primary_metric': 'L2', 'L2': 7.446319076539922, 'MSE': 0.009512060792298226, 'MAE': 0.06598651051293049, 'Spearman': 0.29138562647215227, 'Pearson': 0.3581264104198009}",context mean baseline,L2,7.446319076539922,0.009512060792298226,0.06598651051293049,0.29138562647215227,0.3581264104198009,Hep-G2
0,expression/pert-prediction-essential-regression,Jurkat.0,"{'primary_metric': 'L2', 'L2': 6.822332604534142, 'MSE': 0.008060349900802021, 'MAE': 0.061316334150035505, 'Spearman': 0.23496190339444806, 'Pearson': 0.2797470235201026}",context mean baseline,L2,6.822332604534142,0.008060349900802021,0.061316334150035505,0.23496190339444806,0.2797470235201026,Jurkat
1,expression/pert-prediction-essential-regression,Jurkat.0,"{'primary_metric': 'L2', 'L2': 7.070274917813908, 'MSE': 0.008905096421808041, 'MAE': 0.06308826410200322, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.070274917813908,0.008905096421808041,0.06308826410200322,,,Jurkat
0,expression/pert-prediction-essential-regression,hTERT-RPE1.0,"{'primary_metric': 'L2', 'L2': 9.38691976003794, 'MSE': 0.01621706954536731, 'MAE': 0.07756259945530401, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,9.38691976003794,0.01621706954536731,0.07756259945530401,,,hTERT-RPE1
0,expression/pert-prediction-essential-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 5.04651973647893, 'MSE': 0.004345791430111184, 'MAE': 0.04490829507033379, 'Spearman': 0.21399700753947437, 'Pearson': 0.2529959057702886}",context mean baseline,L2,5.04651973647893,0.004345791430111184,0.04490829507033379,0.21399700753947437,0.2529959057702886,K-562
1,expression/pert-prediction-essential-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 5.184287618648126, 'MSE': 0.004698271285039713, 'MAE': 0.045840994755293844, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.184287618648126,0.004698271285039713,0.045840994755293844,,,K-562
1,expression/pert-prediction-essential-regression,hTERT-RPE1.0,"{'primary_metric': 'L2', 'L2': 8.08595039256626, 'MSE': 0.010884250985976994, 'MAE': 0.06861473938928407, 'Spearman': 0.4285786668715882, 'Pearson': 0.5302410852955521}",context mean baseline,L2,8.08595039256626,0.010884250985976994,0.06861473938928407,0.4285786668715882,0.5302410852955521,hTERT-RPE1
0,expression/pert-prediction-essential-regression,Hep-G2.4,"{'primary_metric': 'L2', 'L2': 7.684623403087765, 'MSE': 0.010251151219079926, 'MAE': 0.06738990702427519, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.684623403087765,0.010251151219079926,0.06738990702427519,,,Hep-G2
0,expression/pert-prediction-essential-regression,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 9.189797239197166, 'MSE': 0.015254405298589166, 'MAE': 0.07583441075483985, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,9.189797239197166,0.015254405298589166,0.07583441075483985,,,hTERT-RPE1
0,expression/pert-prediction-essential-regression,Jurkat.1,"{'primary_metric': 'L2', 'L2': 7.189529717710295, 'MSE': 0.009407825648242355, 'MAE': 0.06441987017713455, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.189529717710295,0.009407825648242355,0.06441987017713455,,,Jurkat
0,expression/pert-prediction-essential-regression,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.944972490459493, 'MSE': 0.008603087513146467, 'MAE': 0.062129978722450414, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.944972490459493,0.008603087513146467,0.062129978722450414,,,Jurkat
0,expression/pert-prediction-essential-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 5.094979942907501, 'MSE': 0.004595909083944084, 'MAE': 0.04505836616613934, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.094979942907501,0.004595909083944084,0.04505836616613934,,,K-562
0,expression/pert-prediction-essential-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 5.284528965208662, 'MSE': 0.004873045154206992, 'MAE': 0.0466542290245319, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.284528965208662,0.004873045154206992,0.0466542290245319,,,K-562
