,dataset,fold,metrics,name,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,roc_auc,average_precision,cell_line,quantile
36,expression/pert_prediction_essential_deg,K-562.0,"{'roc_auc': 0.4836595952510834, 'average_precision': 0.34967371821403503, 'f1_score': 0.33945217728614807, 'recall': 0.34967371821403503, 'precision': 0.3301544487476349, 'f1_classwise': 0.3234756290912628, 'f1_score_nans_are_zeros': 0.3234756290912628, 'primary_metric': 'f1_score'}",no_change,0.33945217728614807,0.34967371821403503,0.3301544487476349,0.3234756290912628,0.3234756290912628,f1_score,0.4836595952510834,0.34967371821403503,K-562,
37,expression/pert_prediction_essential_deg,K-562.0,"{'roc_auc': 0.4836595952510834, 'average_precision': 0.34967371821403503, 'f1_score': 0.33945217728614807, 'recall': 0.34967371821403503, 'precision': 0.3301544487476349, 'f1_classwise': 0.3234756290912628, 'f1_score_nans_are_zeros': 0.3234756290912628, 'primary_metric': 'f1_score'}",prior,0.33945217728614807,0.34967371821403503,0.3301544487476349,0.3234756290912628,0.3234756290912628,f1_score,0.4836595952510834,0.34967371821403503,K-562,
35,expression/pert_prediction_essential_deg,Hep-G2.0,"{'roc_auc': 0.4546436071395874, 'average_precision': 0.37881529331207275, 'f1_score': 0.36710190773010254, 'recall': 0.37881529331207275, 'precision': 0.35665878653526306, 'f1_classwise': 0.3231545090675354, 'f1_score_nans_are_zeros': 0.3231545090675354, 'primary_metric': 'f1_score'}",prior,0.36710190773010254,0.37881529331207275,0.35665878653526306,0.3231545090675354,0.3231545090675354,f1_score,0.4546436071395874,0.37881529331207275,Hep-G2,
36,expression/pert_prediction_essential_deg,Hep-G2.0,"{'roc_auc': 0.4546436071395874, 'average_precision': 0.37881529331207275, 'f1_score': 0.36710190773010254, 'recall': 0.37881529331207275, 'precision': 0.35665878653526306, 'f1_classwise': 0.3231545090675354, 'f1_score_nans_are_zeros': 0.3231545090675354, 'primary_metric': 'f1_score'}",no_change,0.36710190773010254,0.37881529331207275,0.35665878653526306,0.3231545090675354,0.3231545090675354,f1_score,0.4546436071395874,0.37881529331207275,Hep-G2,
35,expression/pert_prediction_essential_deg,Jurkat.0,"{'roc_auc': 0.4527108669281006, 'average_precision': 0.3810240924358368, 'f1_score': 0.3742577135562897, 'recall': 0.3810240924358368, 'precision': 0.3680194616317749, 'f1_classwise': 0.3271652162075043, 'f1_score_nans_are_zeros': 0.3271652162075043, 'primary_metric': 'f1_score'}",most_frequent,0.3742577135562897,0.3810240924358368,0.3680194616317749,0.3271652162075043,0.3271652162075043,f1_score,0.4527108669281006,0.3810240924358368,Jurkat,
35,expression/pert_prediction_essential_deg,K-562.1,"{'roc_auc': 0.4884789288043976, 'average_precision': 0.3448544442653656, 'f1_score': 0.33118247985839844, 'recall': 0.3448544442653656, 'precision': 0.31912121176719666, 'f1_classwise': 0.3200185000896454, 'f1_score_nans_are_zeros': 0.3200185000896454, 'primary_metric': 'f1_score'}",most_frequent,0.33118247985839844,0.3448544442653656,0.31912121176719666,0.3200185000896454,0.3200185000896454,f1_score,0.4884789288043976,0.3448544442653656,K-562,
36,expression/pert_prediction_essential_deg,Jurkat.0,"{'roc_auc': 0.4527108669281006, 'average_precision': 0.3810240924358368, 'f1_score': 0.3742577135562897, 'recall': 0.3810240924358368, 'precision': 0.3680194616317749, 'f1_classwise': 0.3271652162075043, 'f1_score_nans_are_zeros': 0.3271652162075043, 'primary_metric': 'f1_score'}",prior,0.3742577135562897,0.3810240924358368,0.3680194616317749,0.3271652162075043,0.3271652162075043,f1_score,0.4527108669281006,0.3810240924358368,Jurkat,
36,expression/pert_prediction_essential_deg,K-562.1,"{'roc_auc': 0.4884789288043976, 'average_precision': 0.3448544442653656, 'f1_score': 0.33118247985839844, 'recall': 0.3448544442653656, 'precision': 0.31912121176719666, 'f1_classwise': 0.3200185000896454, 'f1_score_nans_are_zeros': 0.3200185000896454, 'primary_metric': 'f1_score'}",prior,0.33118247985839844,0.3448544442653656,0.31912121176719666,0.3200185000896454,0.3200185000896454,f1_score,0.4884789288043976,0.3448544442653656,K-562,
35,expression/pert_prediction_essential_deg,hTERT-RPE1.0,"{'roc_auc': 0.47351908683776855, 'average_precision': 0.35981425642967224, 'f1_score': 0.34018149971961975, 'recall': 0.35981425642967224, 'precision': 0.3245675265789032, 'f1_classwise': 0.31522294878959656, 'f1_score_nans_are_zeros': 0.3151857554912567, 'primary_metric': 'f1_score'}",most_frequent,0.34018149971961975,0.35981425642967224,0.3245675265789032,0.31522294878959656,0.3151857554912567,f1_score,0.47351908683776855,0.35981425642967224,hTERT-RPE1,
37,expression/pert_prediction_essential_deg,Jurkat.0,"{'roc_auc': 0.4527108669281006, 'average_precision': 0.3810240924358368, 'f1_score': 0.3742577135562897, 'recall': 0.3810240924358368, 'precision': 0.3680194616317749, 'f1_classwise': 0.3271652162075043, 'f1_score_nans_are_zeros': 0.3271652162075043, 'primary_metric': 'f1_score'}",no_change,0.3742577135562897,0.3810240924358368,0.3680194616317749,0.3271652162075043,0.3271652162075043,f1_score,0.4527108669281006,0.3810240924358368,Jurkat,
