,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert_prediction_essential_regression_all,K-562.0,"{'primary_metric': 'L2', 'L2': 4.995379533896632, 'MSE': 0.004510079792863616, 'MAE': 0.04450772207532894, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,4.995379533896632,0.004510079792863616,0.04450772207532894,,,K-562
0,expression/pert_prediction_essential_regression_all,Jurkat.0,"{'primary_metric': 'L2', 'L2': 6.675499300971678, 'MSE': 0.008224553678362095, 'MAE': 0.05977462573420454, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.675499300971678,0.008224553678362095,0.05977462573420454,,,Jurkat
0,expression/pert_prediction_essential_regression_all,Hep-G2.0,"{'primary_metric': 'L2', 'L2': 7.088296665452211, 'MSE': 0.008552063423868321, 'MAE': 0.06349585280476859, 'Spearman': 0.2332339099165117, 'Pearson': 0.28466310818611884}",context mean baseline,L2,7.088296665452211,0.008552063423868321,0.06349585280476859,0.2332339099165117,0.28466310818611884,Hep-G2
1,expression/pert_prediction_essential_regression_all,Jurkat.0,"{'primary_metric': 'L2', 'L2': 6.528218630411582, 'MSE': 0.007629986414305152, 'MAE': 0.058769162436900224, 'Spearman': 0.20257738376121526, 'Pearson': 0.24285420848741757}",context mean baseline,L2,6.528218630411582,0.007629986414305152,0.058769162436900224,0.20257738376121526,0.24285420848741757,Jurkat
1,expression/pert_prediction_essential_regression_all,K-562.0,"{'primary_metric': 'L2', 'L2': 4.931019813225475, 'MSE': 0.004270016601704265, 'MAE': 0.04414358699984268, 'Spearman': 0.1768709344957367, 'Pearson': 0.20973585871613643}",context mean baseline,L2,4.931019813225475,0.004270016601704265,0.04414358699984268,0.1768709344957367,0.20973585871613643,K-562
0,expression/pert_prediction_essential_regression_all,hTERT-RPE1.0,"{'primary_metric': 'L2', 'L2': 8.344304777662293, 'MSE': 0.013012152895416792, 'MAE': 0.06961468393083171, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,8.344304777662293,0.013012152895416792,0.06961468393083171,,,hTERT-RPE1
1,expression/pert_prediction_essential_regression_all,Hep-G2.0,"{'primary_metric': 'L2', 'L2': 7.317124425300691, 'MSE': 0.00949275051653547, 'MAE': 0.0651463724246745, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.317124425300691,0.00949275051653547,0.0651463724246745,,,Hep-G2
1,expression/pert_prediction_essential_regression_all,hTERT-RPE1.0,"{'primary_metric': 'L2', 'L2': 7.58406504380432, 'MSE': 0.009482640647675919, 'MAE': 0.06443854142886914, 'Spearman': 0.37003538334552954, 'Pearson': 0.4608022625970171}",context mean baseline,L2,7.58406504380432,0.009482640647675919,0.06443854142886914,0.37003538334552954,0.4608022625970171,hTERT-RPE1
0,expression/pert_prediction_essential_regression_all,K-562.1,"{'primary_metric': 'L2', 'L2': 5.032182162025216, 'MSE': 0.00444391690443838, 'MAE': 0.0448918940527652, 'Spearman': 0.19992437667646037, 'Pearson': 0.23611106370056797}",context mean baseline,L2,5.032182162025216,0.00444391690443838,0.0448918940527652,0.19992437667646037,0.23611106370056797,K-562
0,expression/pert_prediction_essential_regression_all,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 8.825014439301965, 'MSE': 0.01464606971950691, 'MAE': 0.07398786457710838, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,8.825014439301965,0.01464606971950691,0.07398786457710838,,,hTERT-RPE1
0,expression/pert_prediction_essential_regression_all,Hep-G2.4,"{'primary_metric': 'L2', 'L2': 7.245182079355945, 'MSE': 0.009401459395372179, 'MAE': 0.06379514441256709, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.245182079355945,0.009401459395372179,0.06379514441256709,,,Hep-G2
0,expression/pert_prediction_essential_regression_all,Jurkat.3,"{'primary_metric': 'L2', 'L2': 6.428411020747723, 'MSE': 0.00708906890814536, 'MAE': 0.05757244960953648, 'Spearman': 0.22178459755512098, 'Pearson': 0.26454090885669035}",context mean baseline,L2,6.428411020747723,0.00708906890814536,0.05757244960953648,0.22178459755512098,0.26454090885669035,Jurkat
0,expression/pert_prediction_essential_regression_all,Hep-G2.1,"{'primary_metric': 'L2', 'L2': 7.451629049860729, 'MSE': 0.00979232942720287, 'MAE': 0.06578442440047169, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.451629049860729,0.00979232942720287,0.06578442440047169,,,Hep-G2
0,expression/pert_prediction_essential_regression_all,K-562.3,"{'primary_metric': 'L2', 'L2': 5.117368627568381, 'MSE': 0.004749844108350288, 'MAE': 0.0453446355043569, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.117368627568381,0.004749844108350288,0.0453446355043569,,,K-562
0,expression/pert_prediction_essential_regression_all,Jurkat.1,"{'primary_metric': 'L2', 'L2': 6.850797338438605, 'MSE': 0.008416103028424037, 'MAE': 0.06151899270239296, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.850797338438605,0.008416103028424037,0.06151899270239296,,,Jurkat
0,expression/pert_prediction_essential_regression_all,Jurkat.4,"{'primary_metric': 'L2', 'L2': 6.431177928573628, 'MSE': 0.007409386089563698, 'MAE': 0.05746682802626066, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.431177928573628,0.007409386089563698,0.05746682802626066,,,Jurkat
0,expression/pert_prediction_essential_regression_all,hTERT-RPE1.4,"{'primary_metric': 'L2', 'L2': 8.338437566372564, 'MSE': 0.013253283539279216, 'MAE': 0.06917692183806821, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,8.338437566372564,0.013253283539279216,0.06917692183806821,,,hTERT-RPE1
0,expression/pert_prediction_essential_regression_all,hTERT-RPE1.3,"{'primary_metric': 'L2', 'L2': 7.572351014654358, 'MSE': 0.009566016891836357, 'MAE': 0.06455365875043716, 'Spearman': 0.3924340068965743, 'Pearson': 0.4868218063746662}",context mean baseline,L2,7.572351014654358,0.009566016891836357,0.06455365875043716,0.3924340068965743,0.4868218063746662,hTERT-RPE1
0,expression/pert_prediction_essential_regression_all,Hep-G2.2,"{'primary_metric': 'L2', 'L2': 7.170959222836186, 'MSE': 0.008856629574470337, 'MAE': 0.06383042301346106, 'Spearman': 0.26529089944414647, 'Pearson': 0.32504545264977086}",context mean baseline,L2,7.170959222836186,0.008856629574470337,0.06383042301346106,0.26529089944414647,0.32504545264977086,Hep-G2
0,expression/pert_prediction_essential_regression_all,Hep-G2.3,"{'primary_metric': 'L2', 'L2': 7.181492264266056, 'MSE': 0.009037806495261844, 'MAE': 0.06341250247965238, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,7.181492264266056,0.009037806495261844,0.06341250247965238,,,Hep-G2
0,expression/pert_prediction_essential_regression_all,K-562.4,"{'primary_metric': 'L2', 'L2': 4.93929225401919, 'MSE': 0.004282625193837424, 'MAE': 0.044004211165205524, 'Spearman': 0.19568476114766395, 'Pearson': 0.22963163057033853}",context mean baseline,L2,4.93929225401919,0.004282625193837424,0.044004211165205524,0.19568476114766395,0.22963163057033853,K-562
0,expression/pert_prediction_essential_regression_all,hTERT-RPE1.1,"{'primary_metric': 'L2', 'L2': 8.817237578692163, 'MSE': 0.014478359355302867, 'MAE': 0.07357083649768663, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,8.817237578692163,0.014478359355302867,0.07357083649768663,,,hTERT-RPE1
0,expression/pert_prediction_essential_regression_all,Jurkat.2,"{'primary_metric': 'L2', 'L2': 6.635267509735119, 'MSE': 0.007936673611132527, 'MAE': 0.05994172470161884, 'Spearman': 0.22095111464168193, 'Pearson': 0.2642473407397136}",context mean baseline,L2,6.635267509735119,0.007936673611132527,0.05994172470161884,0.22095111464168193,0.2642473407397136,Jurkat
1,expression/pert_prediction_essential_regression_all,Jurkat.3,"{'primary_metric': 'L2', 'L2': 6.6354881883084165, 'MSE': 0.007785149057196283, 'MAE': 0.059014129677647485, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,6.6354881883084165,0.007785149057196283,0.059014129677647485,,,Jurkat
1,expression/pert_prediction_essential_regression_all,K-562.1,"{'primary_metric': 'L2', 'L2': 5.144280010488081, 'MSE': 0.004754064647997393, 'MAE': 0.04563448409254991, 'Spearman': nan, 'Pearson': nan}",no change baseline,L2,5.144280010488081,0.004754064647997393,0.04563448409254991,,,K-562
1,expression/pert_prediction_essential_regression_all,hTERT-RPE1.2,"{'primary_metric': 'L2', 'L2': 7.835751913746489, 'MSE': 0.01046812690579011, 'MAE': 0.06715038531771729, 'Spearman': 0.39293074849891524, 'Pearson': 0.4891514998981675}",context mean baseline,L2,7.835751913746489,0.01046812690579011,0.06715038531771729,0.39293074849891524,0.4891514998981675,hTERT-RPE1
1,expression/pert_prediction_essential_regression_all,Hep-G2.4,"{'primary_metric': 'L2', 'L2': 6.946346305949507, 'MSE': 0.008223708599803184, 'MAE': 0.061694022488675664, 'Spearman': 0.2523831716782723, 'Pearson': 0.3081581889221491}",context mean baseline,L2,6.946346305949507,0.008223708599803184,0.061694022488675664,0.2523831716782723,0.3081581889221491,Hep-G2
