,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
0,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.128256022694104, 'MSE': 0.0039921804620857365, 'MAE': 0.01861137825020464, 'Spearman': 0.23230295905678894, 'Pearson': 0.4560308906191067}",knn_baseline_random,L2,4.128256022694104,0.0039921804620857365,0.01861137825020464,0.23230295905678894,0.4560308906191067,K-562
0,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.216692689994435, 'MSE': 0.004062738413383075, 'MAE': 0.01860806414598862, 'Spearman': 0.19450069454302638, 'Pearson': 0.32041626798958767}",knn_baseline_random,L2,4.216692689994435,0.004062738413383075,0.01860806414598862,0.19450069454302638,0.32041626798958767,K-562
0,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.6651569854913655, 'MSE': 0.005580480263911727, 'MAE': 0.021059384221317243, 'Spearman': 0.21490210669122753, 'Pearson': 0.4635386916581166}",knn_baseline_random,L2,4.6651569854913655,0.005580480263911727,0.021059384221317243,0.21490210669122753,0.4635386916581166,K-562
0,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.87494385222129, 'MSE': 0.0052871676995702825, 'MAE': 0.021875061475637548, 'Spearman': 0.27472002922447775, 'Pearson': 0.5108257938858487}",knn_baseline_random,L2,4.87494385222129,0.0052871676995702825,0.021875061475637548,0.27472002922447775,0.5108257938858487,K-562
0,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 3.3091893736682416, 'MSE': 0.002383214200770104, 'MAE': 0.01441428443085977, 'Spearman': 0.3042099517612544, 'Pearson': 0.614821590478486}",knn_baseline_pca,L2,3.3091893736682416,0.002383214200770104,0.01441428443085977,0.3042099517612544,0.614821590478486,K-562
1,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 3.8201890230794002, 'MSE': 0.0033441717710121894, 'MAE': 0.01735699218676191, 'Spearman': 0.3600685821534289, 'Pearson': 0.6719287148903115}",knn_baseline_pca,L2,3.8201890230794002,0.0033441717710121894,0.01735699218676191,0.3600685821534289,0.6719287148903115,K-562
1,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.300680847994393, 'MSE': 0.004093248531230842, 'MAE': 0.01923187345567754, 'Spearman': 0.20397175990869623, 'Pearson': 0.3479067192670585}",knn_baseline_AIDO.Cell_10M_positional_(D=256),L2,4.300680847994393,0.004093248531230842,0.01923187345567754,0.20397175990869623,0.3479067192670585,K-562
1,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 3.1637797088633426, 'MSE': 0.0024209865903065523, 'MAE': 0.014380059817579512, 'Spearman': 0.30910666783095925, 'Pearson': 0.6332709688013403}",knn_baseline_pca,L2,3.1637797088633426,0.0024209865903065523,0.014380059817579512,0.30910666783095925,0.6332709688013403,K-562
2,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.787489182412264, 'MSE': 0.005111157662692069, 'MAE': 0.021487379737715084, 'Spearman': 0.28617792167875516, 'Pearson': 0.5320749788079487}",knn_baseline_AIDO.Cell_100M_positional_(D=640),L2,4.787489182412264,0.005111157662692069,0.021487379737715084,0.28617792167875516,0.5320749788079487,K-562
1,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 3.606737222232592, 'MSE': 0.0033007348219366993, 'MAE': 0.016381062530975165, 'Spearman': 0.3464695395403476, 'Pearson': 0.6633263394212632}",knn_baseline_pca,L2,3.606737222232592,0.0033007348219366993,0.016381062530975165,0.3464695395403476,0.6633263394212632,K-562
2,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.627447274482028, 'MSE': 0.005508014139477667, 'MAE': 0.020856561279768957, 'Spearman': 0.22544900960944647, 'Pearson': 0.47224288639709816}",knn_baseline_AIDO.Cell_10M_positional_(D=256),L2,4.627447274482028,0.005508014139477667,0.020856561279768957,0.22544900960944647,0.47224288639709816,K-562
3,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.663154901268951, 'MSE': 0.0054733192139274755, 'MAE': 0.021007098921754435, 'Spearman': 0.220918042861543, 'Pearson': 0.46219972972679896}",knn_baseline_AIDO.Cell_100M_positional_(D=640),L2,4.663154901268951,0.0054733192139274755,0.021007098921754435,0.220918042861543,0.46219972972679896,K-562
1,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 4.091955610575444, 'MSE': 0.0034668611389316495, 'MAE': 0.017973454028283452, 'Spearman': 0.21908036826545646, 'Pearson': 0.44634097672457973}",knn_baseline_AIDO.Cell_100M_positional_(D=640),L2,4.091955610575444,0.0034668611389316495,0.017973454028283452,0.21908036826545646,0.44634097672457973,K-562
2,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.111267599866048, 'MSE': 0.003899364850380227, 'MAE': 0.01850117807290328, 'Spearman': 0.23041265681562045, 'Pearson': 0.452459314565641}",knn_baseline_AIDO.Cell_10M_positional_(D=256),L2,4.111267599866048,0.003899364850380227,0.01850117807290328,0.23041265681562045,0.452459314565641,K-562
2,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 4.028913696798888, 'MSE': 0.003377857987424039, 'MAE': 0.017579425475039084, 'Spearman': 0.22598104271922353, 'Pearson': 0.45066227340178083}",knn_baseline_random,L2,4.028913696798888,0.003377857987424039,0.017579425475039084,0.22598104271922353,0.45066227340178083,K-562
2,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 3.0505744205284477, 'MSE': 0.0022786881594189117, 'MAE': 0.013453600733747658, 'Spearman': 0.3136858224653595, 'Pearson': 0.5941529084212165}",knn_baseline_pca,L2,3.0505744205284477,0.0022786881594189117,0.013453600733747658,0.3136858224653595,0.5941529084212165,K-562
3,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.2027793464520355, 'MSE': 0.0039587472300631555, 'MAE': 0.018692572485969502, 'Spearman': 0.20253919364299997, 'Pearson': 0.3460000063132731}",knn_baseline_AIDO.Cell_100M_positional_(D=640),L2,4.2027793464520355,0.0039587472300631555,0.018692572485969502,0.20253919364299997,0.3460000063132731,K-562
3,expression/pert-prediction-norman-regression,K-562.4,"{'primary_metric': 'L2', 'L2': 4.0923615564306735, 'MSE': 0.003533644724675729, 'MAE': 0.017994411011601572, 'Spearman': 0.20102639658867885, 'Pearson': 0.41548477292673713}",knn_baseline_AIDO.Cell_10M_positional_(D=256),L2,4.0923615564306735,0.003533644724675729,0.017994411011601572,0.20102639658867885,0.41548477292673713,K-562
3,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.2345961167208905, 'MSE': 0.004073301628740292, 'MAE': 0.018976235930172988, 'Spearman': 0.23130082280235334, 'Pearson': 0.4549519284164089}",knn_baseline_AIDO.Cell_100M_positional_(D=640),L2,4.2345961167208905,0.004073301628740292,0.018976235930172988,0.23130082280235334,0.4549519284164089,K-562
3,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.768187730064182, 'MSE': 0.005067761349219294, 'MAE': 0.021620490304924665, 'Spearman': 0.2763709402786983, 'Pearson': 0.5388129198255056}",knn_baseline_AIDO.Cell_10M_positional_(D=256),L2,4.768187730064182,0.005067761349219294,0.021620490304924665,0.2763709402786983,0.5388129198255056,K-562
4,expression/pert-prediction-norman-regression,K-562.1,"{'primary_metric': 'L2', 'L2': 4.612015861232345, 'MSE': 0.005487791924655102, 'MAE': 0.02069545830377979, 'Spearman': 0.24143004791646136, 'Pearson': 0.4981722292209179}",knn_baseline_AIDO.Cell_3M_positional_(D=128),L2,4.612015861232345,0.005487791924655102,0.02069545830377979,0.24143004791646136,0.4981722292209179,K-562
4,expression/pert-prediction-norman-regression,K-562.0,"{'primary_metric': 'L2', 'L2': 4.24077722239062, 'MSE': 0.0040717835840114805, 'MAE': 0.01874215499471951, 'Spearman': 0.19835846838585885, 'Pearson': 0.3261006851009833}",knn_baseline_AIDO.Cell_3M_positional_(D=128),L2,4.24077722239062,0.0040717835840114805,0.01874215499471951,0.19835846838585885,0.3261006851009833,K-562
4,expression/pert-prediction-norman-regression,K-562.2,"{'primary_metric': 'L2', 'L2': 4.953919174071607, 'MSE': 0.005491620702968851, 'MAE': 0.022093755919706155, 'Spearman': 0.26785667846367694, 'Pearson': 0.4860365889063263}",knn_baseline_AIDO.Cell_3M_positional_(D=128),L2,4.953919174071607,0.005491620702968851,0.022093755919706155,0.26785667846367694,0.4860365889063263,K-562
4,expression/pert-prediction-norman-regression,K-562.3,"{'primary_metric': 'L2', 'L2': 4.198002917079963, 'MSE': 0.004088302156584889, 'MAE': 0.018772670667983642, 'Spearman': 0.23376898943130128, 'Pearson': 0.4533667443853682}",knn_baseline_AIDO.Cell_3M_positional_(D=128),L2,4.198002917079963,0.004088302156584889,0.018772670667983642,0.23376898943130128,0.4533667443853682,K-562
