,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
15,expression/pert_prediction_sciplex3_deg,A549.0,"{'f1_score': 0.7793681025505066, 'recall': 0.7856681942939758, 'precision': 0.802956759929657, 'f1_classwise': 0.4176670014858246, 'f1_score_nans_are_zeros': 0.33638885617256165, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.7793681025505066,0.7856681942939758,0.802956759929657,0.4176670014858246,0.33638885617256165,f1_score,A549,
15,expression/pert_prediction_sciplex3_deg,A549.1,"{'f1_score': 0.8166871070861816, 'recall': 0.8415474891662598, 'precision': 0.8361845016479492, 'f1_classwise': 0.4230440855026245, 'f1_score_nans_are_zeros': 0.3387860357761383, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.8166871070861816,0.8415474891662598,0.8361845016479492,0.4230440855026245,0.3387860357761383,f1_score,A549,
15,expression/pert_prediction_sciplex3_deg,A549.2,"{'f1_score': 0.7684544324874878, 'recall': 0.7604134678840637, 'precision': 0.7789798974990845, 'f1_classwise': 0.3646601140499115, 'f1_score_nans_are_zeros': 0.3279847800731659, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.7684544324874878,0.7604134678840637,0.7789798974990845,0.3646601140499115,0.3279847800731659,f1_score,A549,
15,expression/pert_prediction_sciplex3_deg,A549.3,"{'f1_score': 0.9290317893028259, 'recall': 0.9064516425132751, 'precision': 0.9562916159629822, 'f1_classwise': 0.34899866580963135, 'f1_score_nans_are_zeros': 0.32403382658958435, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.9290317893028259,0.9064516425132751,0.9562916159629822,0.34899866580963135,0.32403382658958435,f1_score,A549,
15,expression/pert_prediction_sciplex3_deg,A549.4,"{'f1_score': 0.7668341994285583, 'recall': 0.7738897800445557, 'precision': 0.7606816291809082, 'f1_classwise': 0.328788161277771, 'f1_score_nans_are_zeros': 0.3281782269477844, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.7668341994285583,0.7738897800445557,0.7606816291809082,0.328788161277771,0.3281782269477844,f1_score,A549,
15,expression/pert_prediction_sciplex3_deg,K562.0,"{'f1_score': 0.8408722281455994, 'recall': 0.8226817846298218, 'precision': 0.8774377107620239, 'f1_classwise': 0.40477490425109863, 'f1_score_nans_are_zeros': 0.32614150643348694, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.8408722281455994,0.8226817846298218,0.8774377107620239,0.40477490425109863,0.32614150643348694,f1_score,K562,
15,expression/pert_prediction_sciplex3_deg,K562.1,"{'f1_score': 0.858387291431427, 'recall': 0.8652412295341492, 'precision': 0.8747141361236572, 'f1_classwise': 0.4078853130340576, 'f1_score_nans_are_zeros': 0.3354891836643219, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.858387291431427,0.8652412295341492,0.8747141361236572,0.4078853130340576,0.3354891836643219,f1_score,K562,
15,expression/pert_prediction_sciplex3_deg,K562.2,"{'f1_score': 0.8888155221939087, 'recall': 0.8820581436157227, 'precision': 0.8994622826576233, 'f1_classwise': 0.42069050669670105, 'f1_score_nans_are_zeros': 0.3399937152862549, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.8888155221939087,0.8820581436157227,0.8994622826576233,0.42069050669670105,0.3399937152862549,f1_score,K562,
15,expression/pert_prediction_sciplex3_deg,K562.3,"{'f1_score': 0.9653858542442322, 'recall': 0.9579163193702698, 'precision': 0.9758954644203186, 'f1_classwise': 0.3616637885570526, 'f1_score_nans_are_zeros': 0.33017316460609436, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.9653858542442322,0.9579163193702698,0.9758954644203186,0.3616637885570526,0.33017316460609436,f1_score,K562,
15,expression/pert_prediction_sciplex3_deg,K562.4,"{'f1_score': 0.8135073184967041, 'recall': 0.8183520436286926, 'precision': 0.8091570734977722, 'f1_classwise': 0.3307269215583801, 'f1_score_nans_are_zeros': 0.32986941933631897, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.8135073184967041,0.8183520436286926,0.8091570734977722,0.3307269215583801,0.32986941933631897,f1_score,K562,
16,expression/pert_prediction_sciplex3_deg,MCF7.0,"{'f1_score': 0.7226508259773254, 'recall': 0.7302274703979492, 'precision': 0.7338944673538208, 'f1_classwise': 0.4485069215297699, 'f1_score_nans_are_zeros': 0.359025776386261, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.7226508259773254,0.7302274703979492,0.7338944673538208,0.4485069215297699,0.359025776386261,f1_score,MCF7,
15,expression/pert_prediction_sciplex3_deg,MCF7.1,"{'f1_score': 0.714727520942688, 'recall': 0.7592772245407104, 'precision': 0.7504504323005676, 'f1_classwise': 0.41234830021858215, 'f1_score_nans_are_zeros': 0.3311818838119507, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.714727520942688,0.7592772245407104,0.7504504323005676,0.41234830021858215,0.3311818838119507,f1_score,MCF7,
15,expression/pert_prediction_sciplex3_deg,MCF7.2,"{'f1_score': 0.7162536978721619, 'recall': 0.7180472612380981, 'precision': 0.722331702709198, 'f1_classwise': 0.4390581548213959, 'f1_score_nans_are_zeros': 0.35448068380355835, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.7162536978721619,0.7180472612380981,0.722331702709198,0.4390581548213959,0.35448068380355835,f1_score,MCF7,
15,expression/pert_prediction_sciplex3_deg,MCF7.3,"{'f1_score': 0.8211750984191895, 'recall': 0.7892927527427673, 'precision': 0.9010860323905945, 'f1_classwise': 0.3591066896915436, 'f1_score_nans_are_zeros': 0.3052239716053009, 'primary_metric': 'f1_score'}",Fusion_sciplex_deg_13_01_2026,,,0.8211750984191895,0.7892927527427673,0.9010860323905945,0.3591066896915436,0.3052239716053009,f1_score,MCF7,
