,dataset,fold,metrics,name,primary_metric,L2,MSE,MAE,Spearman,Pearson,cell_line
3,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.529893208694962, 'MSE': 0.003974899872697123, 'MAE': 0.025734810633424324, 'Spearman': 0.2533455149149601, 'Pearson': 0.30200598113124844}",knn_baseline_ChemBERTa-77M-MLM,L2,7.529893208694962,0.003974899872697123,0.025734810633424324,0.2533455149149601,0.30200598113124844,MCF7
4,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.051883401691045, 'MSE': 0.003597717327647895, 'MAE': 0.024461155724901477, 'Spearman': 0.2890069281867079, 'Pearson': 0.3574890223544739}",knn_baseline_cats2D,L2,7.051883401691045,0.003597717327647895,0.024461155724901477,0.2890069281867079,0.3574890223544739,MCF7
5,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.227807747108645, 'MSE': 0.003928463522906511, 'MAE': 0.025149613094384366, 'Spearman': 0.24580722139498487, 'Pearson': 0.3307765784416118}",knn_baseline_erg,L2,7.227807747108645,0.003928463522906511,0.025149613094384366,0.24580722139498487,0.3307765784416118,MCF7
6,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.019434373905953, 'MSE': 0.0035078307233146677, 'MAE': 0.024407579030630327, 'Spearman': 0.28792319119105525, 'Pearson': 0.34684819810905954}",knn_baseline_ChemBERTa-77M-MTR,L2,7.019434373905953,0.0035078307233146677,0.024407579030630327,0.28792319119105525,0.34684819810905954,MCF7
7,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.092569782857389, 'MSE': 0.003647973876196343, 'MAE': 0.02463226139092975, 'Spearman': 0.2721821376690954, 'Pearson': 0.3356352673173898}",knn_baseline_cats3D,L2,7.092569782857389,0.003647973876196343,0.02463226139092975,0.2721821376690954,0.3356352673173898,MCF7
8,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.057443813794702, 'MSE': 0.0034478101468235836, 'MAE': 0.024610635220924427, 'Spearman': 0.28181452778246047, 'Pearson': 0.3591255048517741}",knn_baseline_maccs,L2,7.057443813794702,0.0034478101468235836,0.024610635220924427,0.28181452778246047,0.3591255048517741,MCF7
9,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.431261126477891, 'MSE': 0.003992627278180763, 'MAE': 0.025616325946127064, 'Spearman': 0.2543396229114717, 'Pearson': 0.3096173187084789}",knn_baseline_avalon,L2,7.431261126477891,0.003992627278180763,0.025616325946127064,0.2543396229114717,0.3096173187084789,MCF7
10,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.215592501910077, 'MSE': 0.0040659764766975874, 'MAE': 0.025159512483482614, 'Spearman': 0.23842932934021502, 'Pearson': 0.32092315039599695}",knn_baseline_fcfp,L2,7.215592501910077,0.0040659764766975874,0.025159512483482614,0.23842932934021502,0.32092315039599695,MCF7
11,expression/pert-prediction-sciplex3-regression,MCF7.0,"{'primary_metric': 'L2', 'L2': 7.0942119782584765, 'MSE': 0.0033271845213611435, 'MAE': 0.02450337731675523, 'Spearman': 0.29547066446415704, 'Pearson': 0.3563182813776833}",knn_baseline_chatgpt,L2,7.0942119782584765,0.0033271845213611435,0.02450337731675523,0.29547066446415704,0.3563182813776833,MCF7
0,expression/pert-prediction-sciplex3-regression,K562.0,"{'primary_metric': 'L2', 'L2': 7.162771972918203, 'MSE': 0.003195173333154616, 'MAE': 0.02649911022182595, 'Spearman': 0.24245300810602471, 'Pearson': 0.3355071825858422}",knn_baseline_cats2D,L2,7.162771972918203,0.003195173333154616,0.02649911022182595,0.24245300810602471,0.3355071825858422,K562
1,expression/pert-prediction-sciplex3-regression,K562.0,"{'primary_metric': 'L2', 'L2': 7.1425162132012305, 'MSE': 0.0031857122199220765, 'MAE': 0.026472477699247616, 'Spearman': 0.24680267612875625, 'Pearson': 0.3439825292600622}",knn_baseline_fcfp,L2,7.1425162132012305,0.0031857122199220765,0.026472477699247616,0.24680267612875625,0.3439825292600622,K562
