,dataset,fold,metrics,name,roc_auc,average_precision,f1_score,recall,precision,f1_classwise,f1_score_nans_are_zeros,primary_metric,cell_line,quantile
410,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.3254585266113281, 'average_precision': 0.5549731850624084, 'f1_score': 0.5277608036994934, 'recall': 0.5549731850624084, 'precision': 0.5096109509468079, 'f1_classwise': 0.3112419545650482, 'f1_score_nans_are_zeros': 0.30733048915863037, 'primary_metric': 'f1_score'}",most_frequent,0.3254585266113281,0.5549731850624084,0.5277608036994934,0.5549731850624084,0.5096109509468079,0.3112419545650482,0.30733048915863037,f1_score,CVCL_0023,
426,expression/pert_prediction_tahoe_deg,CVCL_0028.0,"{'roc_auc': 0.15862466394901276, 'average_precision': 0.7732691764831543, 'f1_score': 0.7696632742881775, 'recall': 0.7732691764831543, 'precision': 0.7663771510124207, 'f1_classwise': 0.33038488030433655, 'f1_score_nans_are_zeros': 0.33036211133003235, 'primary_metric': 'f1_score'}",prior,0.15862466394901276,0.7732691764831543,0.7696632742881775,0.7732691764831543,0.7663771510124207,0.33038488030433655,0.33036211133003235,f1_score,CVCL_0028,
411,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.3254585266113281, 'average_precision': 0.5549731850624084, 'f1_score': 0.5277608036994934, 'recall': 0.5549731850624084, 'precision': 0.5096109509468079, 'f1_classwise': 0.3112419545650482, 'f1_score_nans_are_zeros': 0.30733048915863037, 'primary_metric': 'f1_score'}",prior,0.3254585266113281,0.5549731850624084,0.5277608036994934,0.5549731850624084,0.5096109509468079,0.3112419545650482,0.30733048915863037,f1_score,CVCL_0023,
412,expression/pert_prediction_tahoe_deg,CVCL_0023.0,"{'roc_auc': 0.3254585266113281, 'average_precision': 0.5549731850624084, 'f1_score': 0.5271469354629517, 'recall': 0.5549731850624084, 'precision': 0.5089952349662781, 'f1_classwise': 0.3067341148853302, 'f1_score_nans_are_zeros': 0.3067341148853302, 'primary_metric': 'f1_score'}",no_change,0.3254585266113281,0.5549731850624084,0.5271469354629517,0.5549731850624084,0.5089952349662781,0.3067341148853302,0.3067341148853302,f1_score,CVCL_0023,
80,expression/pert_prediction_tahoe_deg,CVCL_0320.0,"{'roc_auc': 0.3113139569759369, 'average_precision': 0.5735483765602112, 'f1_score': 0.5498340129852295, 'recall': 0.5735483765602112, 'precision': 0.5335912704467773, 'f1_classwise': 0.313545286655426, 'f1_score_nans_are_zeros': 0.3106061816215515, 'primary_metric': 'f1_score'}",prior,0.3113139569759369,0.5735483765602112,0.5498340129852295,0.5735483765602112,0.5335912704467773,0.313545286655426,0.3106061816215515,f1_score,CVCL_0320,
80,expression/pert_prediction_tahoe_deg,CVCL_0428.0,"{'roc_auc': 0.33180347084999084, 'average_precision': 0.5485947728157043, 'f1_score': 0.5198142528533936, 'recall': 0.5485947728157043, 'precision': 0.5008705854415894, 'f1_classwise': 0.3080701231956482, 'f1_score_nans_are_zeros': 0.30525773763656616, 'primary_metric': 'f1_score'}",prior,0.33180347084999084,0.5485947728157043,0.5198142528533936,0.5485947728157043,0.5008705854415894,0.3080701231956482,0.30525773763656616,f1_score,CVCL_0428,
80,expression/pert_prediction_tahoe_deg,CVCL_1098.0,"{'roc_auc': 0.23121166229248047, 'average_precision': 0.6754025220870972, 'f1_score': 0.66548752784729, 'recall': 0.6754025220870972, 'precision': 0.6574186682701111, 'f1_classwise': 0.32452264428138733, 'f1_score_nans_are_zeros': 0.32452264428138733, 'primary_metric': 'f1_score'}",no_change,0.23121166229248047,0.6754025220870972,0.66548752784729,0.6754025220870972,0.6574186682701111,0.32452264428138733,0.32452264428138733,f1_score,CVCL_1098,
81,expression/pert_prediction_tahoe_deg,CVCL_1119.0,"{'roc_auc': 0.3286101520061493, 'average_precision': 0.552314817905426, 'f1_score': 0.5256471037864685, 'recall': 0.552314817905426, 'precision': 0.5077216625213623, 'f1_classwise': 0.3102327883243561, 'f1_score_nans_are_zeros': 0.30741018056869507, 'primary_metric': 'f1_score'}",most_frequent,0.3286101520061493,0.552314817905426,0.5256471037864685,0.552314817905426,0.5077216625213623,0.3102327883243561,0.30741018056869507,f1_score,CVCL_1119,
81,expression/pert_prediction_tahoe_deg,CVCL_0334.0,"{'roc_auc': 0.3085218369960785, 'average_precision': 0.5765829086303711, 'f1_score': 0.5581769943237305, 'recall': 0.5765829086303711, 'precision': 0.5445245504379272, 'f1_classwise': 0.31701305508613586, 'f1_score_nans_are_zeros': 0.3157884180545807, 'primary_metric': 'f1_score'}",most_frequent,0.3085218369960785,0.5765829086303711,0.5581769943237305,0.5765829086303711,0.5445245504379272,0.31701305508613586,0.3157884180545807,f1_score,CVCL_0334,
81,expression/pert_prediction_tahoe_deg,CVCL_0218.0,"{'roc_auc': 0.26651450991630554, 'average_precision': 0.6315811276435852, 'f1_score': 0.6190646290779114, 'recall': 0.6315811276435852, 'precision': 0.6092789173126221, 'f1_classwise': 0.3216727674007416, 'f1_score_nans_are_zeros': 0.32167279720306396, 'primary_metric': 'f1_score'}",no_change,0.26651450991630554,0.6315811276435852,0.6190646290779114,0.6315811276435852,0.6092789173126221,0.3216727674007416,0.32167279720306396,f1_score,CVCL_0218,
